orders_created_at_est_year,orders_created_at_est_day,orders_total_order_count
2019,10-15,14756
2019,01-14,8499
2019,02-20,14233
2019,05-04,16967
2019,02-19,11832
2019,10-10,17621
2019,01-28,8774
2019,09-16,11107
2019,08-17,16270
2019,07-01,12729
2019,09-06,21000
2019,03-24,11992
2019,02-08,18404
2019,04-07,11945
2019,12-29,15785
2019,02-15,17607
2019,10-17,17875
2019,04-17,13654
2019,10-07,13116
2019,02-13,12274
2019,10-18,22728
2019,03-13,13426
2019,07-16,13073
2019,10-26,19481
2019,05-28,12359
2019,09-20,20801
2019,12-24,20195
2019,03-22,18602
2019,04-24,13299
2019,12-18,17540
2019,11-17,15422
2019,07-06,16012
2019,12-17,16598
2019,11-07,18708
2019,09-01,13582
2019,09-19,16297
2019,08-12,11191
2019,06-15,15352
2019,05-29,13948
2019,07-03,16363
2019,01-20,9957
2019,11-15,24991
2019,01-08,9953
2019,05-03,19288
2019,04-02,13809
2019,07-30,13622
2019,06-04,13430
2019,09-08,13020
2019,05-15,13247
2019,10-30,17174
2019,10-29,16105
2019,02-26,13256
2019,10-11,22836
2019,06-13,15648
2019,07-18,15676
2019,12-27,20468
2019,07-05,16863
2019,08-07,15271
2019,09-22,13695
2019,07-27,15747
2019,04-04,15188
2019,05-09,14940
2019,01-15,9804
2019,11-22,25462
2019,08-25,12718
2019,11-25,14306
2019,01-09,10994
2019,11-21,18413
2019,07-07,12607
2019,10-21,12609
2019,06-14,18660
2019,09-14,17492
2019,04-20,14421
2019,10-19,19143
2019,11-01,22463
2019,06-26,13887
2019,12-19,18995
2019,01-11,16396
2019,08-22,15394
2019,03-19,12341
2019,10-09,16902
2019,08-18,12912
2019,08-01,17384
2019,10-16,17904
2019,03-07,14957
2019,07-11,16354
2019,12-23,15424
2019,04-09,12066
2019,07-13,15755
2019,09-13,20905
2019,09-30,12925
2019,06-22,15185
2019,12-04,17857
2019,03-29,19393
2019,02-17,11907
2019,12-05,19434
2019,09-10,12773
2019,01-13,10242
2019,04-28,12752
2019,06-10,12233
2019,05-18,15230
2019,03-02,17688
2019,01-25,16391
2019,01-30,12427
2019,12-03,17471
2019,08-08,15315
2019,06-11,12464
2019,06-17,11306
2019,06-27,15510
2019,03-30,16654
2019,11-11,12683
2019,04-23,12063
2019,03-28,14860
2019,07-08,11244
2019,04-12,19636
2019,01-03,12445
2019,12-09,13609
2019,12-02,14588
2019,01-27,10251
2019,12-28,18908
2019,06-21,18491
2019,02-18,10615
2019,06-20,15608
2019,02-25,11083
2019,06-07,19046
2019,07-17,15388
2019,01-23,10901
2019,01-31,13866
2019,06-23,12112
2019,06-30,13011
2019,06-12,13724
2019,05-02,15697
2019,11-13,17096
2019,02-10,11672
2019,05-24,18332
2019,05-26,11073
2019,08-30,21742
2019,08-09,18979
2019,05-13,11366
2019,05-14,12617
2019,11-26,17068
2019,11-24,15256
2019,10-12,18124
2019,01-24,12463
2019,12-15,15169
2019,03-17,11526
2019,11-30,18023
2019,07-14,12380
2019,02-24,12694
2019,10-22,15478
2019,05-19,12770
2019,01-04,16131
2019,07-26,19286
2019,02-28,16275
2019,02-22,18863
2019,03-06,14101
2019,02-16,15187
2019,06-03,12309
2019,09-17,13437
2019,08-15,14962
2019,05-27,9155
2019,04-13,15773
2019,04-06,15664
2019,07-25,15022
2019,10-08,14663
2019,08-14,13894
2019,06-28,19454
2019,03-23,15556
2019,07-19,19401
2019,09-29,14100
2019,06-29,17134
2019,08-20,13072
2019,12-22,15821
2019,05-25,14980
2019,12-06,18145
2019,02-21,14500
2019,03-10,12301
2019,09-27,20325
2019,01-17,11711
2019,06-18,13287
2019,08-21,14501
2019,04-21,10000
2019,09-04,15144
2019,01-19,12545
